0,0,0.1200007138219690
1,100,0.0769185590355067
101,200,0.0679620812892328
201,300,0.0584472972575765
301,400,0.0475961031820310
401,500,0.0410893223359067
501,600,0.0349323787411098
601,700,0.0301477640989938
701,800,0.0260474098303200
801,900,0.0226522170430785
901,1000,0.0200642316211828
1001,1100,0.0181058492730709
1101,1200,0.0167249263347134
1201,1300,0.0150235554832873
1301,1400,0.0139389792450465
1401,1500,0.0127763092235329
1501,1750,0.0283581295930915
1751,2000,0.0242171644776084
2001,2250,0.0210080528219379
2251,2500,0.0183757056112173
2501,3000,0.0308386192507357
3001,3500,0.0249056229502629
3501,4000,0.0206918027779718
4001,4500,0.0173047895961703
4501,5000,0.0145413685939986
5001,7500,0.0490313852687584
7501,10000,0.0281909726077518
10001,12500,0.0189229665925584
12501,15000,0.0136632628918194
15001,17500,0.0102932089793104
17501,20000,0.0078234618698354
20001,25000,0.0109687427979850
25001,30000,0.0072022135313734
30001,35000,0.0052594822786937
35001,40000,0.0040271916147686
40001,45000,0.0031196742732376
45001,50000,0.0025314572682557
50001,60000,0.0036156531158280
60001,70000,0.0023767090511028
70001,80000,0.0018668998488821
80001,90000,0.0014103739543815
90001,100000,0.0010434689576885
100001,110000,0.0008209169850548
110001,120000,0.0006648475011281
120001,130000,0.0005418017532700
130001,140000,0.0004823572253531
140001,150000,0.0004302427605063
150001,175000,0.0006945829406370
175001,200000,0.0005014175939342
200001,225000,0.0003965738184717
225001,250000,0.0002677069450077
250001,300000,0.0003495868217322
300001,350000,0.0002369020349370
350001,400000,0.0001543719004520
400001,450000,0.0001033398528609
450001,500000,0.0000727023199407
500001,600000,0.0001113990692758
600001,700000,0.0000522357988184
700001,800000,0.0000335061220337
800001,900000,0.0000220032961292
900001,1000000,0.0000142860575680
1000000,1100000,0.0000087691353947
1100001,1200000,0.0000051658834287
1200001,1300000,0.0000030000178455
1300001,1400000,0.0000025000148713
1400001,1500000,0.0000019956899076
1500001,1750000,0.0000050000297426
1750001,2000000,0.0000040000237941
2000001,3500000,0.0000020000118970
3500001,5000000,0.0000005000029743
5000001,7500000,0.0000002000011897
7500001,7500001,0.0000000100000595
